MPG,Cyl,Engine,HP,Weight,0to60,Year,Origin
14,8,350,165,4209,12,1972,Moscow
31.9,4,89,71,1925,14,1980,Lagos
17,8,302,140,3449,11,1971,Hong Kong
15,8,400,150,3761,10,1971,Moscow
30.5,4,98,63,2051,17,1978,Lagos
23,8,350,125,3900,17,1980,Hong Kong
13,8,351,158,4363,13,1974,Moscow
14,8,440,215,4312,9,1971,Lagos
25.4,5,183,77,3530,20,1980,Hong Kong
37.7,4,89,62,2050,17,1982,Moscow
34,4,108,70,2245,17,1983,Lagos
34.3,4,97,78,2188,16,1981,Hong Kong
16,8,302,140,4141,14,1975,Moscow
11,8,350,180,3664,11,1974,Lagos
